[2024-06-16 14:45:16,005 27 20 Data Injestion Started]
[2024-06-16 14:45:26,688 37 20 Data Splitting Done...]
[2024-06-16 14:45:35,655 41 20 Data Injestion Done...]
[2024-06-16 14:45:36,975 87 20 Removing outliers from training data]
[2024-06-16 14:45:36,975 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,041 68 20 Outliers Removed.]
[2024-06-16 14:45:37,041 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,098 68 20 Outliers Removed.]
[2024-06-16 14:45:37,098 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,233 68 20 Outliers Removed.]
[2024-06-16 14:45:37,233 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,341 68 20 Outliers Removed.]
[2024-06-16 14:45:37,341 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,467 68 20 Outliers Removed.]
[2024-06-16 14:45:37,468 91 20 Removing Done from training data]
[2024-06-16 14:45:37,468 94 20 Removing outliers from test data]
[2024-06-16 14:45:37,468 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,501 68 20 Outliers Removed.]
[2024-06-16 14:45:37,502 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,528 68 20 Outliers Removed.]
[2024-06-16 14:45:37,528 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,594 68 20 Outliers Removed.]
[2024-06-16 14:45:37,594 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,651 68 20 Outliers Removed.]
[2024-06-16 14:45:37,651 54 20 Removing outliers using IQR method]
[2024-06-16 14:45:37,716 68 20 Outliers Removed.]
[2024-06-16 14:45:37,716 98 20 Removing Done from test data]
[2024-06-16 14:45:37,716 30 20 Data Transformation Started....]
[2024-06-16 14:45:37,716 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:45:40,147 127 20 Problem in initiating data transform]
