[2024-06-16 14:37:51,076 27 20 Data Injestion Started]
[2024-06-16 14:38:01,735 37 20 Data Splitting Done...]
[2024-06-16 14:38:10,798 41 20 Data Injestion Done...]
[2024-06-16 14:38:12,324 87 20 Removing outliers from training data]
[2024-06-16 14:38:12,324 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:12,389 68 20 Outliers Removed.]
[2024-06-16 14:38:12,389 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:12,448 68 20 Outliers Removed.]
[2024-06-16 14:38:12,449 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:12,621 68 20 Outliers Removed.]
[2024-06-16 14:38:12,621 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:12,837 68 20 Outliers Removed.]
[2024-06-16 14:38:12,837 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:12,964 68 20 Outliers Removed.]
[2024-06-16 14:38:12,965 91 20 Removing Done from training data]
[2024-06-16 14:38:12,965 94 20 Removing outliers from test data]
[2024-06-16 14:38:12,965 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:13,006 68 20 Outliers Removed.]
[2024-06-16 14:38:13,006 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:13,033 68 20 Outliers Removed.]
[2024-06-16 14:38:13,033 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:13,099 68 20 Outliers Removed.]
[2024-06-16 14:38:13,099 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:13,156 68 20 Outliers Removed.]
[2024-06-16 14:38:13,156 54 20 Removing outliers using IQR method]
[2024-06-16 14:38:13,251 68 20 Outliers Removed.]
[2024-06-16 14:38:13,251 98 20 Removing Done from test data]
[2024-06-16 14:38:13,251 30 20 Data Transformation Started....]
[2024-06-16 14:38:13,251 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:38:13,398 127 20 Problem in initiating data transform]
