[2024-06-16 14:48:14,371 27 20 Data Injestion Started]
[2024-06-16 14:48:24,946 37 20 Data Splitting Done...]
[2024-06-16 14:48:33,874 41 20 Data Injestion Done...]
[2024-06-16 14:48:35,184 87 20 Removing outliers from training data]
[2024-06-16 14:48:35,184 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,248 68 20 Outliers Removed.]
[2024-06-16 14:48:35,248 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,305 68 20 Outliers Removed.]
[2024-06-16 14:48:35,305 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,440 68 20 Outliers Removed.]
[2024-06-16 14:48:35,440 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,548 68 20 Outliers Removed.]
[2024-06-16 14:48:35,548 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,674 68 20 Outliers Removed.]
[2024-06-16 14:48:35,674 91 20 Removing Done from training data]
[2024-06-16 14:48:35,674 94 20 Removing outliers from test data]
[2024-06-16 14:48:35,674 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,708 68 20 Outliers Removed.]
[2024-06-16 14:48:35,708 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,735 68 20 Outliers Removed.]
[2024-06-16 14:48:35,735 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,801 68 20 Outliers Removed.]
[2024-06-16 14:48:35,801 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,858 68 20 Outliers Removed.]
[2024-06-16 14:48:35,858 54 20 Removing outliers using IQR method]
[2024-06-16 14:48:35,923 68 20 Outliers Removed.]
[2024-06-16 14:48:35,923 98 20 Removing Done from test data]
[2024-06-16 14:48:35,923 30 20 Data Transformation Started....]
[2024-06-16 14:48:35,923 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:48:37,989 127 20 Problem in initiating data transform]
