[2024-06-16 14:31:21,375 27 20 Data Injestion Started]
[2024-06-16 14:31:31,971 37 20 Data Splitting Done...]
[2024-06-16 14:31:41,097 41 20 Data Injestion Done...]
[2024-06-16 14:31:42,419 87 20 Removing outliers from training data]
[2024-06-16 14:31:42,420 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,483 68 20 Outliers Removed.]
[2024-06-16 14:31:42,483 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,541 68 20 Outliers Removed.]
[2024-06-16 14:31:42,541 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,675 68 20 Outliers Removed.]
[2024-06-16 14:31:42,675 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,781 68 20 Outliers Removed.]
[2024-06-16 14:31:42,781 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,905 68 20 Outliers Removed.]
[2024-06-16 14:31:42,905 91 20 Removing Done from training data]
[2024-06-16 14:31:42,905 94 20 Removing outliers from test data]
[2024-06-16 14:31:42,905 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,939 68 20 Outliers Removed.]
[2024-06-16 14:31:42,939 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:42,966 68 20 Outliers Removed.]
[2024-06-16 14:31:42,966 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:43,031 68 20 Outliers Removed.]
[2024-06-16 14:31:43,031 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:43,089 68 20 Outliers Removed.]
[2024-06-16 14:31:43,089 54 20 Removing outliers using IQR method]
[2024-06-16 14:31:43,154 68 20 Outliers Removed.]
[2024-06-16 14:31:43,154 98 20 Removing Done from test data]
[2024-06-16 14:31:43,154 30 20 Data Transformation Started....]
[2024-06-16 14:31:43,154 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:31:43,291 127 20 Problem in initiating data transform]
