[2024-06-16 14:51:53,316 27 20 Data Injestion Started]
[2024-06-16 14:52:04,415 37 20 Data Splitting Done...]
[2024-06-16 14:52:14,140 41 20 Data Injestion Done...]
[2024-06-16 14:52:15,506 87 20 Removing outliers from training data]
[2024-06-16 14:52:15,506 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:15,570 68 20 Outliers Removed.]
[2024-06-16 14:52:15,570 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:15,628 68 20 Outliers Removed.]
[2024-06-16 14:52:15,628 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:15,761 68 20 Outliers Removed.]
[2024-06-16 14:52:15,761 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:15,866 68 20 Outliers Removed.]
[2024-06-16 14:52:15,866 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:15,989 68 20 Outliers Removed.]
[2024-06-16 14:52:15,989 91 20 Removing Done from training data]
[2024-06-16 14:52:15,989 94 20 Removing outliers from test data]
[2024-06-16 14:52:15,989 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:16,025 68 20 Outliers Removed.]
[2024-06-16 14:52:16,025 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:16,052 68 20 Outliers Removed.]
[2024-06-16 14:52:16,052 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:16,118 68 20 Outliers Removed.]
[2024-06-16 14:52:16,118 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:16,175 68 20 Outliers Removed.]
[2024-06-16 14:52:16,175 54 20 Removing outliers using IQR method]
[2024-06-16 14:52:16,240 68 20 Outliers Removed.]
[2024-06-16 14:52:16,240 98 20 Removing Done from test data]
[2024-06-16 14:52:16,240 30 20 Data Transformation Started....]
[2024-06-16 14:52:16,240 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:52:18,332 122 20 Data transformation done and .pkl file saved]
