[2024-06-16 14:39:13,745 27 20 Data Injestion Started]
[2024-06-16 14:39:24,428 37 20 Data Splitting Done...]
[2024-06-16 14:39:33,324 41 20 Data Injestion Done...]
[2024-06-16 14:39:34,676 87 20 Removing outliers from training data]
[2024-06-16 14:39:34,676 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:34,740 68 20 Outliers Removed.]
[2024-06-16 14:39:34,740 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:34,798 68 20 Outliers Removed.]
[2024-06-16 14:39:34,798 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:34,933 68 20 Outliers Removed.]
[2024-06-16 14:39:34,933 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,040 68 20 Outliers Removed.]
[2024-06-16 14:39:35,040 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,167 68 20 Outliers Removed.]
[2024-06-16 14:39:35,167 91 20 Removing Done from training data]
[2024-06-16 14:39:35,167 94 20 Removing outliers from test data]
[2024-06-16 14:39:35,167 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,202 68 20 Outliers Removed.]
[2024-06-16 14:39:35,202 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,229 68 20 Outliers Removed.]
[2024-06-16 14:39:35,229 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,295 68 20 Outliers Removed.]
[2024-06-16 14:39:35,295 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,353 68 20 Outliers Removed.]
[2024-06-16 14:39:35,353 54 20 Removing outliers using IQR method]
[2024-06-16 14:39:35,417 68 20 Outliers Removed.]
[2024-06-16 14:39:35,417 98 20 Removing Done from test data]
[2024-06-16 14:39:35,417 30 20 Data Transformation Started....]
[2024-06-16 14:39:35,417 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:39:37,319 127 20 Problem in initiating data transform]
