[2024-06-16 14:30:28,081 27 20 Data Injestion Started]
[2024-06-16 14:30:38,650 37 20 Data Splitting Done...]
[2024-06-16 14:30:47,632 41 20 Data Injestion Done...]
[2024-06-16 14:30:48,949 88 20 Removing outliers from training data]
[2024-06-16 14:30:48,949 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,019 69 20 Outliers Removed.]
[2024-06-16 14:30:49,019 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,078 69 20 Outliers Removed.]
[2024-06-16 14:30:49,078 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,212 69 20 Outliers Removed.]
[2024-06-16 14:30:49,212 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,319 69 20 Outliers Removed.]
[2024-06-16 14:30:49,319 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,446 69 20 Outliers Removed.]
[2024-06-16 14:30:49,446 92 20 Removing Done from training data]
[2024-06-16 14:30:49,446 95 20 Removing outliers from test data]
[2024-06-16 14:30:49,446 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,480 69 20 Outliers Removed.]
[2024-06-16 14:30:49,480 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,508 69 20 Outliers Removed.]
[2024-06-16 14:30:49,508 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,574 69 20 Outliers Removed.]
[2024-06-16 14:30:49,574 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,634 69 20 Outliers Removed.]
[2024-06-16 14:30:49,634 55 20 Removing outliers using IQR method]
[2024-06-16 14:30:49,700 69 20 Outliers Removed.]
[2024-06-16 14:30:49,700 99 20 Removing Done from test data]
[2024-06-16 14:30:49,700 30 20 Data Transformation Started....]
[2024-06-16 14:30:49,700 105 20 Splitting into dependent and independent variables]
[2024-06-16 14:30:49,837 128 20 Problem in initiating data transform]
