[2024-06-16 14:50:21,961 27 20 Data Injestion Started]
[2024-06-16 14:50:32,718 37 20 Data Splitting Done...]
[2024-06-16 14:50:41,948 41 20 Data Injestion Done...]
[2024-06-16 14:50:43,448 87 20 Removing outliers from training data]
[2024-06-16 14:50:43,448 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:43,513 68 20 Outliers Removed.]
[2024-06-16 14:50:43,513 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:43,572 68 20 Outliers Removed.]
[2024-06-16 14:50:43,572 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:43,715 68 20 Outliers Removed.]
[2024-06-16 14:50:43,715 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:43,857 68 20 Outliers Removed.]
[2024-06-16 14:50:43,857 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:43,988 68 20 Outliers Removed.]
[2024-06-16 14:50:43,989 91 20 Removing Done from training data]
[2024-06-16 14:50:43,989 94 20 Removing outliers from test data]
[2024-06-16 14:50:43,989 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:44,024 68 20 Outliers Removed.]
[2024-06-16 14:50:44,024 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:44,052 68 20 Outliers Removed.]
[2024-06-16 14:50:44,052 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:44,120 68 20 Outliers Removed.]
[2024-06-16 14:50:44,120 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:44,182 68 20 Outliers Removed.]
[2024-06-16 14:50:44,182 54 20 Removing outliers using IQR method]
[2024-06-16 14:50:44,249 68 20 Outliers Removed.]
[2024-06-16 14:50:44,250 98 20 Removing Done from test data]
[2024-06-16 14:50:44,250 30 20 Data Transformation Started....]
[2024-06-16 14:50:44,250 104 20 Splitting into dependent and independent variables]
